"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Common","FlushEarly","Native","JS","JVM","TestKIR","Dedicated","CILabel","InstrumentPropertyAccessors","Reference","Methods","Enabled","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"176644.52","175686","4557.3709716306","172035","196179","175381.2812159783","177907.7587840217","commonmain-plain-jar","2966.4524","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","False","ci-windows-large","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-04-25 01:48:04","0aec6f5c181c13a16df2b590d740d00152b5fb77","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.94","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.4","133","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","7796.2782","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","False","ci-windows-large","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-04-25 01:48:04","0aec6f5c181c13a16df2b590d740d00152b5fb77","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.94","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.4","133","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"227399.6","226030.5","4867.26645824021","222768","249991","226050.4625695623","228748.7374304377","commonmain-plain-win-exe","98466.0367","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","False","ci-windows-large","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-04-25 01:48:04","0aec6f5c181c13a16df2b590d740d00152b5fb77","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.94","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.4","133","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"176691.12","176428.5","2651.05707557555","171542","190995","175956.2844693028","177425.9555306972","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3077.7613","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","False","ci-windows-large","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-04-25 01:48:04","0aec6f5c181c13a16df2b590d740d00152b5fb77","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.94","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.4","133","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4785.2063","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","False","ci-windows-large","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-04-25 01:48:04","0aec6f5c181c13a16df2b590d740d00152b5fb77","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.94","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.4","133","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"228387.36","227237","4272.779417356782","222962","243520","227203.00597019328","229571.7140298067","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","25951.2939","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","False","ci-windows-large","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-04-25 01:48:04","0aec6f5c181c13a16df2b590d740d00152b5fb77","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.94","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.4","133","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"175770.56","175228.5","2975.8341047134177","171774","190964","174945.70086974942","176595.41913025058","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3077.7613","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","False","ci-windows-large","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-04-25 01:48:04","0aec6f5c181c13a16df2b590d740d00152b5fb77","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.94","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.4","133","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4785.2063","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","False","ci-windows-large","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-04-25 01:48:04","0aec6f5c181c13a16df2b590d740d00152b5fb77","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.94","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.4","133","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"230077.74","227346.5","9789.372427426446","224072","289545","227364.2644022184","232791.2155977816","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","25951.2939","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","False","ci-windows-large","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-04-25 01:48:04","0aec6f5c181c13a16df2b590d740d00152b5fb77","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.94","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.4","133","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"177841.72","177010.5","5600.063855466839","172586","208316","176289.46149410692","179393.9785058931","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2670.4329","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","False","ci-windows-large","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-04-25 01:48:04","0aec6f5c181c13a16df2b590d740d00152b5fb77","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.94","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.4","133","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4461.9706","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","False","ci-windows-large","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-04-25 01:48:04","0aec6f5c181c13a16df2b590d740d00152b5fb77","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.94","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.4","133","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"228270.32","227099","4655.7466681905435","222474","248124","226979.81286409884","229560.82713590117","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","20495.3156","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","False","ci-windows-large","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-04-25 01:48:04","0aec6f5c181c13a16df2b590d740d00152b5fb77","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.94","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.4","133","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"176794.52","176218.5","3329.956874391337","172458","189540","175871.50304591918","177717.5369540808","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2670.4329","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","False","ci-windows-large","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-04-25 01:48:04","0aec6f5c181c13a16df2b590d740d00152b5fb77","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.94","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.4","133","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4461.9706","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","False","ci-windows-large","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-04-25 01:48:04","0aec6f5c181c13a16df2b590d740d00152b5fb77","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.94","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.4","133","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"228626.98","227340","4725.212468994686","224403","247124","227317.21792648564","229936.74207351438","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","20495.3156","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","False","ci-windows-large","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-04-25 01:48:04","0aec6f5c181c13a16df2b590d740d00152b5fb77","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.94","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.4","133","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"177956.14","177439","3315.2565758434853","172567","193532","177037.19776078835","178875.08223921168","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2096.9408","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","False","ci-windows-large","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-04-25 01:48:04","0aec6f5c181c13a16df2b590d740d00152b5fb77","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.94","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.4","133","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3741.1009","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","False","ci-windows-large","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-04-25 01:48:04","0aec6f5c181c13a16df2b590d740d00152b5fb77","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.94","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.4","133","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"231740.98","228559","10159.435870346026","224364","287381","228924.928049195","234557.03195080502","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","18248.3581","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","False","ci-windows-large","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-04-25 01:48:04","0aec6f5c181c13a16df2b590d740d00152b5fb77","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.94","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.4","133","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"178486.34","178237.5","2533.1224307932207","174028","184891","177784.19428503126","179188.48571496873","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2096.9408","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","False","ci-windows-large","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-04-25 01:48:04","0aec6f5c181c13a16df2b590d740d00152b5fb77","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.94","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.4","133","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3741.1009","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","False","ci-windows-large","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-04-25 01:48:04","0aec6f5c181c13a16df2b590d740d00152b5fb77","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.94","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.4","133","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"230556.52","227474.5","10985.162546501588","224852","292663","227511.58829180544","233601.45170819454","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","18248.3581","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","False","ci-windows-large","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-04-25 01:48:04","0aec6f5c181c13a16df2b590d740d00152b5fb77","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.94","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.4","133","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"176972.44","176768","3045.407175350034","172254","188607","176128.29619845565","177816.58380154436","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1928.5659","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","False","ci-windows-large","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-04-25 01:48:04","0aec6f5c181c13a16df2b590d740d00152b5fb77","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.94","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.4","133","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3372.9385","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","False","ci-windows-large","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-04-25 01:48:04","0aec6f5c181c13a16df2b590d740d00152b5fb77","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.94","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.4","133","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"227246.84","225884","3903.706137317538","222968","241562","226164.78786406893","228328.89213593106","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","17908.278","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","False","ci-windows-large","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-04-25 01:48:04","0aec6f5c181c13a16df2b590d740d00152b5fb77","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.94","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.4","133","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"176608.88","176549","2791.004022693962","171842","188262","175835.2531546598","177382.50684534022","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1928.5659","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","False","ci-windows-large","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-04-25 01:48:04","0aec6f5c181c13a16df2b590d740d00152b5fb77","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.94","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.4","133","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3372.9385","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","False","ci-windows-large","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-04-25 01:48:04","0aec6f5c181c13a16df2b590d740d00152b5fb77","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.94","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.4","133","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"230515.12","228082","10846.414723430646","224156","296778","227508.64722622023","233521.59277377976","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","17908.278","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","False","ci-windows-large","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-04-25 01:48:04","0aec6f5c181c13a16df2b590d740d00152b5fb77","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.94","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.4","133","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
