mean,median,stddev,min,max,ci95_lower,ci95_upper,executable,buildTimeMs,RepetitionCount,CleanBuild,StepCount,CILabel,Reference,IOA,JVM,JS,Native,IoaKinds,CollectionTimestamp,GitCommitHash,GitBranch,DeviceManufacturer,DeviceModel,IsVirtualMachine,OS,OSArchitecture,WindowsBuildNumber,TimeZone,Username,BIOSVersion,BIOSManufacturer,SecureBootEnabled,HyperVEnabled,CPU,CPUCores,CPULogicalProcessors,CPUMaxClockSpeedMHz,TotalRAMGB,AvailableRAMGB,RAMModuleCount,RAMSpeedMHz,RAMManufacturer,RAMPartNumber,RAMModuleCapacitiesGB,DiskModel,DiskSizeGB,DiskMediaType,DiskInterfaceType,SystemDriveFreeSpaceGB,PowerPlan,SystemUptimeHours,RunningProcessCount,WindowsDefenderEnabled,WindowsDefenderRealTimeProtection,PythonVersion,JavaVersion,NodeVersion,GradleVersion,KotlinVersion
114607.512,112921.0,10957.330329310993,93250.0,163881.0,113249.22726011375,115965.79673988625,commonmain-plain-jar,9061.999999999898,250,True,500,local,True,True,True,True,True,"['None', 'TryFinally', 'TimeClock', 'TimeMonotonicFunction', 'TimeMonotonicFunctionInWholeMilliseconds', 'TimeMonotonicFunctionInWholeMicroseconds', 'TimeMonotonicFunctionInWholeNanoseconds', 'TimeMonotonicGlobal', 'TimeMonotonicGlobalInWholeMilliseconds', 'TimeMonotonicGlobalInWholeMicroseconds', 'TimeMonotonicGlobalInWholeNanoseconds', 'TimeMonotonicGlobalReducedObjects', 'IncrementIntCounter', 'IncrementAtomicIntCounter', 'RandomValue', 'StandardOut', 'AppendToStringBuilder', 'FileEagerFlush', 'FileLazyFlush', 'AddToList', 'AddDuplicatesToSet', 'AddUniqueToSet', 'PocTryFinallyIncrementInt']",2026-07-03 10:40:05,fe09cc8cc0451dca8e066defbb9c3928c0f368fd,BSC_IOA,Dell Inc.,Precision 5570,False,Microsoft Windows 11 Enterprise 10.0.26200,64-bit,26200,W. Europe Standard Time,lian.hoerschlaeger,1.38.0,Dell Inc.,Unknown,Unknown,12th Gen Intel(R) Core(TM) i7-12800H,14,20,2400,31.68,20.87,2,4800,80AD000080AD,HMCG78MEBSA092N,16.0 + 16.0,Micron 3400 NVMe 1024GB,953.86,Fixed hard disk media,SCSI,858.33,Not available,Not available,249,True,True,3.12.10,21.0.9,v25.9.0,Gradle 9.0.0,Kotlin:        2.2.0
106232.656,102865.0,10590.321907576197,97236.0,161561.0,104919.86609541306,107545.44590458694,commonmain-plain-node,9453.000000000202,250,True,500,local,True,True,True,True,True,"['None', 'TryFinally', 'TimeClock', 'TimeMonotonicFunction', 'TimeMonotonicFunctionInWholeMilliseconds', 'TimeMonotonicFunctionInWholeMicroseconds', 'TimeMonotonicFunctionInWholeNanoseconds', 'TimeMonotonicGlobal', 'TimeMonotonicGlobalInWholeMilliseconds', 'TimeMonotonicGlobalInWholeMicroseconds', 'TimeMonotonicGlobalInWholeNanoseconds', 'TimeMonotonicGlobalReducedObjects', 'IncrementIntCounter', 'IncrementAtomicIntCounter', 'RandomValue', 'StandardOut', 'AppendToStringBuilder', 'FileEagerFlush', 'FileLazyFlush', 'AddToList', 'AddDuplicatesToSet', 'AddUniqueToSet', 'PocTryFinallyIncrementInt']",2026-07-03 10:40:05,fe09cc8cc0451dca8e066defbb9c3928c0f368fd,BSC_IOA,Dell Inc.,Precision 5570,False,Microsoft Windows 11 Enterprise 10.0.26200,64-bit,26200,W. Europe Standard Time,lian.hoerschlaeger,1.38.0,Dell Inc.,Unknown,Unknown,12th Gen Intel(R) Core(TM) i7-12800H,14,20,2400,31.68,20.87,2,4800,80AD000080AD,HMCG78MEBSA092N,16.0 + 16.0,Micron 3400 NVMe 1024GB,953.86,Fixed hard disk media,SCSI,858.33,Not available,Not available,249,True,True,3.12.10,21.0.9,v25.9.0,Gradle 9.0.0,Kotlin:        2.2.0
156555.824,154706.5,6490.540666663019,148866.0,206790.0,155751.24824329797,157360.399756702,commonmain-plain-win-exe,162171.9999999998,250,True,500,local,True,True,True,True,True,"['None', 'TryFinally', 'TimeClock', 'TimeMonotonicFunction', 'TimeMonotonicFunctionInWholeMilliseconds', 'TimeMonotonicFunctionInWholeMicroseconds', 'TimeMonotonicFunctionInWholeNanoseconds', 'TimeMonotonicGlobal', 'TimeMonotonicGlobalInWholeMilliseconds', 'TimeMonotonicGlobalInWholeMicroseconds', 'TimeMonotonicGlobalInWholeNanoseconds', 'TimeMonotonicGlobalReducedObjects', 'IncrementIntCounter', 'IncrementAtomicIntCounter', 'RandomValue', 'StandardOut', 'AppendToStringBuilder', 'FileEagerFlush', 'FileLazyFlush', 'AddToList', 'AddDuplicatesToSet', 'AddUniqueToSet', 'PocTryFinallyIncrementInt']",2026-07-03 10:40:05,fe09cc8cc0451dca8e066defbb9c3928c0f368fd,BSC_IOA,Dell Inc.,Precision 5570,False,Microsoft Windows 11 Enterprise 10.0.26200,64-bit,26200,W. Europe Standard Time,lian.hoerschlaeger,1.38.0,Dell Inc.,Unknown,Unknown,12th Gen Intel(R) Core(TM) i7-12800H,14,20,2400,31.68,20.87,2,4800,80AD000080AD,HMCG78MEBSA092N,16.0 + 16.0,Micron 3400 NVMe 1024GB,953.86,Fixed hard disk media,SCSI,858.33,Not available,Not available,249,True,True,3.12.10,21.0.9,v25.9.0,Gradle 9.0.0,Kotlin:        2.2.0
103205.164,102661.0,4096.108749123071,94982.0,119594.0,102697.40509891389,103712.92290108612,commonmain-ioa-kind-none-jar,7202.9999999999745,250,True,500,local,True,True,True,True,True,"['None', 'TryFinally', 'TimeClock', 'TimeMonotonicFunction', 'TimeMonotonicFunctionInWholeMilliseconds', 'TimeMonotonicFunctionInWholeMicroseconds', 'TimeMonotonicFunctionInWholeNanoseconds', 'TimeMonotonicGlobal', 'TimeMonotonicGlobalInWholeMilliseconds', 'TimeMonotonicGlobalInWholeMicroseconds', 'TimeMonotonicGlobalInWholeNanoseconds', 'TimeMonotonicGlobalReducedObjects', 'IncrementIntCounter', 'IncrementAtomicIntCounter', 'RandomValue', 'StandardOut', 'AppendToStringBuilder', 'FileEagerFlush', 'FileLazyFlush', 'AddToList', 'AddDuplicatesToSet', 'AddUniqueToSet', 'PocTryFinallyIncrementInt']",2026-07-03 10:40:05,fe09cc8cc0451dca8e066defbb9c3928c0f368fd,BSC_IOA,Dell Inc.,Precision 5570,False,Microsoft Windows 11 Enterprise 10.0.26200,64-bit,26200,W. Europe Standard Time,lian.hoerschlaeger,1.38.0,Dell Inc.,Unknown,Unknown,12th Gen Intel(R) Core(TM) i7-12800H,14,20,2400,31.68,20.87,2,4800,80AD000080AD,HMCG78MEBSA092N,16.0 + 16.0,Micron 3400 NVMe 1024GB,953.86,Fixed hard disk media,SCSI,858.33,Not available,Not available,249,True,True,3.12.10,21.0.9,v25.9.0,Gradle 9.0.0,Kotlin:        2.2.0
102510.152,99290.5,9765.56290175063,94168.0,143963.0,101299.60028099554,103720.70371900446,commonmain-ioa-kind-none-node,7047.0000000000255,250,True,500,local,True,True,True,True,True,"['None', 'TryFinally', 'TimeClock', 'TimeMonotonicFunction', 'TimeMonotonicFunctionInWholeMilliseconds', 'TimeMonotonicFunctionInWholeMicroseconds', 'TimeMonotonicFunctionInWholeNanoseconds', 'TimeMonotonicGlobal', 'TimeMonotonicGlobalInWholeMilliseconds', 'TimeMonotonicGlobalInWholeMicroseconds', 'TimeMonotonicGlobalInWholeNanoseconds', 'TimeMonotonicGlobalReducedObjects', 'IncrementIntCounter', 'IncrementAtomicIntCounter', 'RandomValue', 'StandardOut', 'AppendToStringBuilder', 'FileEagerFlush', 'FileLazyFlush', 'AddToList', 'AddDuplicatesToSet', 'AddUniqueToSet', 'PocTryFinallyIncrementInt']",2026-07-03 10:40:05,fe09cc8cc0451dca8e066defbb9c3928c0f368fd,BSC_IOA,Dell Inc.,Precision 5570,False,Microsoft Windows 11 Enterprise 10.0.26200,64-bit,26200,W. Europe Standard Time,lian.hoerschlaeger,1.38.0,Dell Inc.,Unknown,Unknown,12th Gen Intel(R) Core(TM) i7-12800H,14,20,2400,31.68,20.87,2,4800,80AD000080AD,HMCG78MEBSA092N,16.0 + 16.0,Micron 3400 NVMe 1024GB,953.86,Fixed hard disk media,SCSI,858.33,Not available,Not available,249,True,True,3.12.10,21.0.9,v25.9.0,Gradle 9.0.0,Kotlin:        2.2.0
150247.828,149284.0,3988.6077940749983,143488.0,165535.0,149753.39505536284,150742.26094463718,commonmain-ioa-kind-none-win-exe,218359.9999999999,250,True,500,local,True,True,True,True,True,"['None', 'TryFinally', 'TimeClock', 'TimeMonotonicFunction', 'TimeMonotonicFunctionInWholeMilliseconds', 'TimeMonotonicFunctionInWholeMicroseconds', 'TimeMonotonicFunctionInWholeNanoseconds', 'TimeMonotonicGlobal', 'TimeMonotonicGlobalInWholeMilliseconds', 'TimeMonotonicGlobalInWholeMicroseconds', 'TimeMonotonicGlobalInWholeNanoseconds', 'TimeMonotonicGlobalReducedObjects', 'IncrementIntCounter', 'IncrementAtomicIntCounter', 'RandomValue', 'StandardOut', 'AppendToStringBuilder', 'FileEagerFlush', 'FileLazyFlush', 'AddToList', 'AddDuplicatesToSet', 'AddUniqueToSet', 'PocTryFinallyIncrementInt']",2026-07-03 10:40:05,fe09cc8cc0451dca8e066defbb9c3928c0f368fd,BSC_IOA,Dell Inc.,Precision 5570,False,Microsoft Windows 11 Enterprise 10.0.26200,64-bit,26200,W. Europe Standard Time,lian.hoerschlaeger,1.38.0,Dell Inc.,Unknown,Unknown,12th Gen Intel(R) Core(TM) i7-12800H,14,20,2400,31.68,20.87,2,4800,80AD000080AD,HMCG78MEBSA092N,16.0 + 16.0,Micron 3400 NVMe 1024GB,953.86,Fixed hard disk media,SCSI,858.33,Not available,Not available,249,True,True,3.12.10,21.0.9,v25.9.0,Gradle 9.0.0,Kotlin:        2.2.0
99043.4,98398.5,4400.833234357615,90866.0,120225.0,98497.86706037307,99588.93293962692,commonmain-ioa-kind-tryfinally-jar,6093.000000000075,250,True,500,local,True,True,True,True,True,"['None', 'TryFinally', 'TimeClock', 'TimeMonotonicFunction', 'TimeMonotonicFunctionInWholeMilliseconds', 'TimeMonotonicFunctionInWholeMicroseconds', 'TimeMonotonicFunctionInWholeNanoseconds', 'TimeMonotonicGlobal', 'TimeMonotonicGlobalInWholeMilliseconds', 'TimeMonotonicGlobalInWholeMicroseconds', 'TimeMonotonicGlobalInWholeNanoseconds', 'TimeMonotonicGlobalReducedObjects', 'IncrementIntCounter', 'IncrementAtomicIntCounter', 'RandomValue', 'StandardOut', 'AppendToStringBuilder', 'FileEagerFlush', 'FileLazyFlush', 'AddToList', 'AddDuplicatesToSet', 'AddUniqueToSet', 'PocTryFinallyIncrementInt']",2026-07-03 10:40:05,fe09cc8cc0451dca8e066defbb9c3928c0f368fd,BSC_IOA,Dell Inc.,Precision 5570,False,Microsoft Windows 11 Enterprise 10.0.26200,64-bit,26200,W. Europe Standard Time,lian.hoerschlaeger,1.38.0,Dell Inc.,Unknown,Unknown,12th Gen Intel(R) Core(TM) i7-12800H,14,20,2400,31.68,20.87,2,4800,80AD000080AD,HMCG78MEBSA092N,16.0 + 16.0,Micron 3400 NVMe 1024GB,953.86,Fixed hard disk media,SCSI,858.33,Not available,Not available,249,True,True,3.12.10,21.0.9,v25.9.0,Gradle 9.0.0,Kotlin:        2.2.0
116248.556,126619.0,16028.260502055455,92643.0,140269.0,114261.67224341324,118235.43975658675,commonmain-ioa-kind-tryfinally-node,6047.0000000000255,250,True,500,local,True,True,True,True,True,"['None', 'TryFinally', 'TimeClock', 'TimeMonotonicFunction', 'TimeMonotonicFunctionInWholeMilliseconds', 'TimeMonotonicFunctionInWholeMicroseconds', 'TimeMonotonicFunctionInWholeNanoseconds', 'TimeMonotonicGlobal', 'TimeMonotonicGlobalInWholeMilliseconds', 'TimeMonotonicGlobalInWholeMicroseconds', 'TimeMonotonicGlobalInWholeNanoseconds', 'TimeMonotonicGlobalReducedObjects', 'IncrementIntCounter', 'IncrementAtomicIntCounter', 'RandomValue', 'StandardOut', 'AppendToStringBuilder', 'FileEagerFlush', 'FileLazyFlush', 'AddToList', 'AddDuplicatesToSet', 'AddUniqueToSet', 'PocTryFinallyIncrementInt']",2026-07-03 10:40:05,fe09cc8cc0451dca8e066defbb9c3928c0f368fd,BSC_IOA,Dell Inc.,Precision 5570,False,Microsoft Windows 11 Enterprise 10.0.26200,64-bit,26200,W. Europe Standard Time,lian.hoerschlaeger,1.38.0,Dell Inc.,Unknown,Unknown,12th Gen Intel(R) Core(TM) i7-12800H,14,20,2400,31.68,20.87,2,4800,80AD000080AD,HMCG78MEBSA092N,16.0 + 16.0,Micron 3400 NVMe 1024GB,953.86,Fixed hard disk media,SCSI,858.33,Not available,Not available,249,True,True,3.12.10,21.0.9,v25.9.0,Gradle 9.0.0,Kotlin:        2.2.0
148963.252,148073.0,3726.8439457104605,140241.0,168196.0,148501.2676381838,149425.2363618162,commonmain-ioa-kind-tryfinally-win-exe,28077.999999999975,250,True,500,local,True,True,True,True,True,"['None', 'TryFinally', 'TimeClock', 'TimeMonotonicFunction', 'TimeMonotonicFunctionInWholeMilliseconds', 'TimeMonotonicFunctionInWholeMicroseconds', 'TimeMonotonicFunctionInWholeNanoseconds', 'TimeMonotonicGlobal', 'TimeMonotonicGlobalInWholeMilliseconds', 'TimeMonotonicGlobalInWholeMicroseconds', 'TimeMonotonicGlobalInWholeNanoseconds', 'TimeMonotonicGlobalReducedObjects', 'IncrementIntCounter', 'IncrementAtomicIntCounter', 'RandomValue', 'StandardOut', 'AppendToStringBuilder', 'FileEagerFlush', 'FileLazyFlush', 'AddToList', 'AddDuplicatesToSet', 'AddUniqueToSet', 'PocTryFinallyIncrementInt']",2026-07-03 10:40:05,fe09cc8cc0451dca8e066defbb9c3928c0f368fd,BSC_IOA,Dell Inc.,Precision 5570,False,Microsoft Windows 11 Enterprise 10.0.26200,64-bit,26200,W. Europe Standard Time,lian.hoerschlaeger,1.38.0,Dell Inc.,Unknown,Unknown,12th Gen Intel(R) Core(TM) i7-12800H,14,20,2400,31.68,20.87,2,4800,80AD000080AD,HMCG78MEBSA092N,16.0 + 16.0,Micron 3400 NVMe 1024GB,953.86,Fixed hard disk media,SCSI,858.33,Not available,Not available,249,True,True,3.12.10,21.0.9,v25.9.0,Gradle 9.0.0,Kotlin:        2.2.0
189521.348,188048.5,6438.787988272926,176851.0,214415.0,188723.18757177607,190319.50842822393,commonmain-ioa-kind-timeclock-jar,6625.0,250,True,500,local,True,True,True,True,True,"['None', 'TryFinally', 'TimeClock', 'TimeMonotonicFunction', 'TimeMonotonicFunctionInWholeMilliseconds', 'TimeMonotonicFunctionInWholeMicroseconds', 'TimeMonotonicFunctionInWholeNanoseconds', 'TimeMonotonicGlobal', 'TimeMonotonicGlobalInWholeMilliseconds', 'TimeMonotonicGlobalInWholeMicroseconds', 'TimeMonotonicGlobalInWholeNanoseconds', 'TimeMonotonicGlobalReducedObjects', 'IncrementIntCounter', 'IncrementAtomicIntCounter', 'RandomValue', 'StandardOut', 'AppendToStringBuilder', 'FileEagerFlush', 'FileLazyFlush', 'AddToList', 'AddDuplicatesToSet', 'AddUniqueToSet', 'PocTryFinallyIncrementInt']",2026-07-03 10:40:05,fe09cc8cc0451dca8e066defbb9c3928c0f368fd,BSC_IOA,Dell Inc.,Precision 5570,False,Microsoft Windows 11 Enterprise 10.0.26200,64-bit,26200,W. Europe Standard Time,lian.hoerschlaeger,1.38.0,Dell Inc.,Unknown,Unknown,12th Gen Intel(R) Core(TM) i7-12800H,14,20,2400,31.68,20.87,2,4800,80AD000080AD,HMCG78MEBSA092N,16.0 + 16.0,Micron 3400 NVMe 1024GB,953.86,Fixed hard disk media,SCSI,858.33,Not available,Not available,249,True,True,3.12.10,21.0.9,v25.9.0,Gradle 9.0.0,Kotlin:        2.2.0
6380862.508,6373297.5,93030.6944349775,5941148.0,6823723.0,6369330.303640511,6392394.71235949,commonmain-ioa-kind-timeclock-node,7937.9999999998745,250,True,500,local,True,True,True,True,True,"['None', 'TryFinally', 'TimeClock', 'TimeMonotonicFunction', 'TimeMonotonicFunctionInWholeMilliseconds', 'TimeMonotonicFunctionInWholeMicroseconds', 'TimeMonotonicFunctionInWholeNanoseconds', 'TimeMonotonicGlobal', 'TimeMonotonicGlobalInWholeMilliseconds', 'TimeMonotonicGlobalInWholeMicroseconds', 'TimeMonotonicGlobalInWholeNanoseconds', 'TimeMonotonicGlobalReducedObjects', 'IncrementIntCounter', 'IncrementAtomicIntCounter', 'RandomValue', 'StandardOut', 'AppendToStringBuilder', 'FileEagerFlush', 'FileLazyFlush', 'AddToList', 'AddDuplicatesToSet', 'AddUniqueToSet', 'PocTryFinallyIncrementInt']",2026-07-03 10:40:05,fe09cc8cc0451dca8e066defbb9c3928c0f368fd,BSC_IOA,Dell Inc.,Precision 5570,False,Microsoft Windows 11 Enterprise 10.0.26200,64-bit,26200,W. Europe Standard Time,lian.hoerschlaeger,1.38.0,Dell Inc.,Unknown,Unknown,12th Gen Intel(R) Core(TM) i7-12800H,14,20,2400,31.68,20.87,2,4800,80AD000080AD,HMCG78MEBSA092N,16.0 + 16.0,Micron 3400 NVMe 1024GB,953.86,Fixed hard disk media,SCSI,858.33,Not available,Not available,249,True,True,3.12.10,21.0.9,v25.9.0,Gradle 9.0.0,Kotlin:        2.2.0
478733.076,477459.5,8783.516825824505,458748.0,506239.0,477644.2599737881,479821.8920262119,commonmain-ioa-kind-timeclock-win-exe,22672.000000000025,250,True,500,local,True,True,True,True,True,"['None', 'TryFinally', 'TimeClock', 'TimeMonotonicFunction', 'TimeMonotonicFunctionInWholeMilliseconds', 'TimeMonotonicFunctionInWholeMicroseconds', 'TimeMonotonicFunctionInWholeNanoseconds', 'TimeMonotonicGlobal', 'TimeMonotonicGlobalInWholeMilliseconds', 'TimeMonotonicGlobalInWholeMicroseconds', 'TimeMonotonicGlobalInWholeNanoseconds', 'TimeMonotonicGlobalReducedObjects', 'IncrementIntCounter', 'IncrementAtomicIntCounter', 'RandomValue', 'StandardOut', 'AppendToStringBuilder', 'FileEagerFlush', 'FileLazyFlush', 'AddToList', 'AddDuplicatesToSet', 'AddUniqueToSet', 'PocTryFinallyIncrementInt']",2026-07-03 10:40:05,fe09cc8cc0451dca8e066defbb9c3928c0f368fd,BSC_IOA,Dell Inc.,Precision 5570,False,Microsoft Windows 11 Enterprise 10.0.26200,64-bit,26200,W. Europe Standard Time,lian.hoerschlaeger,1.38.0,Dell Inc.,Unknown,Unknown,12th Gen Intel(R) Core(TM) i7-12800H,14,20,2400,31.68,20.87,2,4800,80AD000080AD,HMCG78MEBSA092N,16.0 + 16.0,Micron 3400 NVMe 1024GB,953.86,Fixed hard disk media,SCSI,858.33,Not available,Not available,249,True,True,3.12.10,21.0.9,v25.9.0,Gradle 9.0.0,Kotlin:        2.2.0
189872.128,189584.5,4827.747220860898,177849.0,204783.0,189273.67425432964,190470.58174567035,commonmain-ioa-kind-timemonotonicfunction-jar,6437.0000000001255,250,True,500,local,True,True,True,True,True,"['None', 'TryFinally', 'TimeClock', 'TimeMonotonicFunction', 'TimeMonotonicFunctionInWholeMilliseconds', 'TimeMonotonicFunctionInWholeMicroseconds', 'TimeMonotonicFunctionInWholeNanoseconds', 'TimeMonotonicGlobal', 'TimeMonotonicGlobalInWholeMilliseconds', 'TimeMonotonicGlobalInWholeMicroseconds', 'TimeMonotonicGlobalInWholeNanoseconds', 'TimeMonotonicGlobalReducedObjects', 'IncrementIntCounter', 'IncrementAtomicIntCounter', 'RandomValue', 'StandardOut', 'AppendToStringBuilder', 'FileEagerFlush', 'FileLazyFlush', 'AddToList', 'AddDuplicatesToSet', 'AddUniqueToSet', 'PocTryFinallyIncrementInt']",2026-07-03 10:40:05,fe09cc8cc0451dca8e066defbb9c3928c0f368fd,BSC_IOA,Dell Inc.,Precision 5570,False,Microsoft Windows 11 Enterprise 10.0.26200,64-bit,26200,W. Europe Standard Time,lian.hoerschlaeger,1.38.0,Dell Inc.,Unknown,Unknown,12th Gen Intel(R) Core(TM) i7-12800H,14,20,2400,31.68,20.87,2,4800,80AD000080AD,HMCG78MEBSA092N,16.0 + 16.0,Micron 3400 NVMe 1024GB,953.86,Fixed hard disk media,SCSI,858.33,Not available,Not available,249,True,True,3.12.10,21.0.9,v25.9.0,Gradle 9.0.0,Kotlin:        2.2.0
1142482.56,1139895.0,17567.791991374695,1104271.0,1207376.0,1140304.8339428098,1144660.2860571903,commonmain-ioa-kind-timemonotonicfunction-node,5796.999999999798,250,True,500,local,True,True,True,True,True,"['None', 'TryFinally', 'TimeClock', 'TimeMonotonicFunction', 'TimeMonotonicFunctionInWholeMilliseconds', 'TimeMonotonicFunctionInWholeMicroseconds', 'TimeMonotonicFunctionInWholeNanoseconds', 'TimeMonotonicGlobal', 'TimeMonotonicGlobalInWholeMilliseconds', 'TimeMonotonicGlobalInWholeMicroseconds', 'TimeMonotonicGlobalInWholeNanoseconds', 'TimeMonotonicGlobalReducedObjects', 'IncrementIntCounter', 'IncrementAtomicIntCounter', 'RandomValue', 'StandardOut', 'AppendToStringBuilder', 'FileEagerFlush', 'FileLazyFlush', 'AddToList', 'AddDuplicatesToSet', 'AddUniqueToSet', 'PocTryFinallyIncrementInt']",2026-07-03 10:40:05,fe09cc8cc0451dca8e066defbb9c3928c0f368fd,BSC_IOA,Dell Inc.,Precision 5570,False,Microsoft Windows 11 Enterprise 10.0.26200,64-bit,26200,W. Europe Standard Time,lian.hoerschlaeger,1.38.0,Dell Inc.,Unknown,Unknown,12th Gen Intel(R) Core(TM) i7-12800H,14,20,2400,31.68,20.87,2,4800,80AD000080AD,HMCG78MEBSA092N,16.0 + 16.0,Micron 3400 NVMe 1024GB,953.86,Fixed hard disk media,SCSI,858.33,Not available,Not available,249,True,True,3.12.10,21.0.9,v25.9.0,Gradle 9.0.0,Kotlin:        2.2.0
